stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,settlement,county
8210LL10445,,Dalton Square,,52.599551,-6.922673,,,,,Borris,County_Carlow
8210LL10446,,Skeagh Cross,,52.55124,-6.91198,,,,,Skeagh Cross,County_Carlow
8210LL10447,,Byrne’s Pub,,52.50309,-6.90608,,,,,Byrne’s Pub,County_Carlow
8210LL10448,,Old Post Office,,52.490401,-6.929692,,,,,Old Post Office,County_Carlow
8210LL10449,,Drummon Church,,52.47243,-6.90185,,,,,Drummon Church,County_Carlow
8210LL10450,,Skeagh Cross,,52.55132,-6.91207,,,,,Skeagh Cross,County_Carlow
8210LL10451,,Petrol Station Bagenalstown,,52.70022,-6.9572096,,,,,Muinebeag (Bagenalstown),County_Carlow
8210LL10452,,Aldi Bagenalstown,,52.703244,-6.956228,,,,,Muinebeag (Bagenalstown),County_Carlow
8210LL10874,10874,Tinryland Junction,,52.80446691,-6.889226202,,,,,Tinryland Junction,County_Carlow
8210PB000012,,Borris,,52.60018591,-6.923984596,,,,,Borris,County_Carlow
8210PB000017,,Carlow Coach Park,,52.83362922,-6.926861918,,,,,Carlow,County_Carlow
8220000003,,Terminal 2 Stena Line,,53.35032044,-6.197031054,,,,,Dublin city and suburbs,County_Dublin
8220000005,,Park West Nissan,,53.33234314,-6.363435121,,,,,Dublin city and suburbs,County_Dublin
8220000009,,Clerys,,53.3491855,-6.259821921,,,,,Dublin city and suburbs,County_Dublin
8220000060,,Trinity College,,53.34369352,-6.259189512,,,,,Dublin city and suburbs,County_Dublin
8220000107,,O Connell Street,,53.35102915,-6.260512919,,,,,Dublin city and suburbs,County_Dublin
8220000131,,The Point,,53.34689867,-6.22901848,,,,,Dublin city and suburbs,County_Dublin
8220000150,,Wynn's Hotel,,53.348562,-6.258961,,,,,Dublin city and suburbs,County_Dublin
8220000255,,Sussex Road,,53.32972821,-6.248903004,,,,,Dublin city and suburbs,County_Dublin
8220000357,,George's Quay,,53.34737214,-6.25259589,,,,,Dublin city and suburbs,County_Dublin
8220000372,,East Wall Road,,53.35079068,-6.226003017,,,,,Dublin city and suburbs,County_Dublin
8220000386,,Schoolhouse Hotel,,53.33723056,-6.239555502,,,,,Dublin city and suburbs,County_Dublin
8220000415,,Belgrave Square East,,53.32275353,-6.259967044,,,,,Dublin city and suburbs,County_Dublin
8220000416,,Opposite St Conleth's College,,53.32834544,-6.240446876,,,,,Dublin city and suburbs,County_Dublin
8220000417,,St Conleth's College,,53.32830995,-6.240478364,,,,,Dublin city and suburbs,County_Dublin
8220000418,,Lithuanian Embassy,,53.32001439,-6.221725956,,,,,Dublin city and suburbs,County_Dublin
8220000419,,Opposite St Michaels College,,53.32034288,-6.217839474,,,,,Dublin city and suburbs,County_Dublin
8220000420,,St Michaels College,,53.32027955,-6.217812091,,,,,Dublin city and suburbs,County_Dublin
8220000421,,Opposite Lithuanian Embassy,,53.32005055,-6.221739464,,,,,Dublin city and suburbs,County_Dublin
8220000441,,Cumberland Street North,,53.353699,-6.258169,,,,,Dublin city and suburbs,County_Dublin
822008203,8203,Visitor Centre,,53.36469,-6.33167,,,,,Dublin city and suburbs,County_Dublin
822008204,8204,Áras an Uachtaráin,,53.35969,-6.32456,,,,,Dublin city and suburbs,County_Dublin
822008205,8205,Dublin Zoo,,53.35173,-6.30548,,,,,Dublin city and suburbs,County_Dublin
822008206,8206,Park Gates,,53.34884,-6.29777,,,,,Dublin city and suburbs,County_Dublin
822008208,8208,Park Gates,,53.34872,-6.29792,,,,,Dublin city and suburbs,County_Dublin
822008209,8209,Dublin Zoo,,53.35169,-6.3057,,,,,Dublin city and suburbs,County_Dublin
822008210,8210,Áras an Uachtaráin,,53.35963,-6.32481,,,,,Dublin city and suburbs,County_Dublin
8220B007612,7612,Merrion Square,,53.34146025,-6.25029956,,,,,Dublin city and suburbs,County_Dublin
8220B1000401,100041,Clare Street,,53.341434,-6.251562,,,,,Dublin city and suburbs,County_Dublin
8220B100061,100061,Donnybrook Stadium,,53.31992266,-6.233092929,,,,,Dublin city and suburbs,County_Dublin
8220B100111,100111,Westland Row,,53.343163,-6.249959,,,,,Dublin city and suburbs,County_Dublin
8220B100351,100351,Merrion Square North,,53.34094273,-6.249945298,,,,,Dublin city and suburbs,County_Dublin
8220B100411,,Holles Street,,53.33984333,-6.247302148,,,,,Dublin city and suburbs,County_Dublin
8220B100461,100461,Merrion Road,,53.32835551,-6.228375428,,,,,Dublin city and suburbs,County_Dublin
